date,ticker,open,high,low,close,volume
2006-04-28,XLE,28.435,28.93,28.435,28.57,38107800
2006-05-01,XLE,28.775,29.315,28.715,29.040001,39191600
2006-05-02,XLE,29.365,29.72,29.185,29.685,38083000
2006-05-03,XLE,29.57,29.68,29.0049992,29.225,51569400
2006-05-04,XLE,28.975,29.36,28.565,29.09,55618400
2006-05-05,XLE,29.44,29.575,29.19,29.43,31436800
2006-05-08,XLE,29.059999,29.355,28.8,29.3,34185400
2006-05-09,XLE,29.2,29.625,29.17,29.475,26333400
2006-05-10,XLE,29.385,29.755,29.285,29.75,41188800
2006-05-11,XLE,30.0049992,30.075001,29.275,29.365,43551400
2006-05-12,XLE,29.275,29.275,28.335,28.37,70278200
2006-05-15,XLE,27.815,28.25,27.465,27.775,58166600
2006-05-16,XLE,27.95,28.26,27.62,27.875,41205200
2006-05-17,XLE,27.625,27.955,26.96,27.165,72929200
2006-05-18,XLE,27.18,27.475,26.8,26.835,49518600
2006-05-19,XLE,26.69,27.225,26.295,27.01,80607600
2006-05-22,XLE,26.55,27.07,26.125,26.855,75077600
2006-05-23,XLE,27.355,27.7,26.75,26.86,58351800
2006-05-24,XLE,26.55,27.075001,26.075001,26.53,76549600
2006-05-25,XLE,26.895,27.555,26.755,27.46,64495800
2006-05-26,XLE,27.445,27.66,27.305,27.55,28766600
2006-05-30,XLE,27.8,27.95,27.084999,27.115,38809200
2006-05-31,XLE,27.02,27.775,27.01,27.775,39841400
2006-06-01,XLE,27.5,27.995,27.305,27.85,39707800
2006-06-02,XLE,28.125,28.315,27.795,28.265,35372600
2006-06-05,XLE,28.58,28.59,27.355,27.375,73397400
2006-06-06,XLE,27.32,27.68,27.094999,27.35,49843400
2006-06-07,XLE,27.16,27.295,26.3,26.3,92812800
2006-06-08,XLE,26.11,26.725,25.475,26.67,150771000
2006-06-09,XLE,26.905,26.905,26.155,26.4,62874000
2006-06-12,XLE,26.56,26.72,25.82,25.86,43478000
2006-06-13,XLE,25.525,25.93,25.0049992,25.094999,75171200
2006-06-14,XLE,25.19,25.79,25.1,25.74,79172400
2006-06-15,XLE,26.059999,26.89,26.02,26.72,76566600
2006-06-16,XLE,26.525,26.735,26.059999,26.55,59343200
2006-06-19,XLE,26.45,26.45,25.52,25.55,93441400
2006-06-20,XLE,25.815,26.035,25.365,25.43,44635400
2006-06-21,XLE,25.515,26.31,25.495,26.0,78507000
2006-06-22,XLE,26.0,26.25,25.795,26.11,35386800
2006-06-23,XLE,26.645,26.875,26.6,26.69,53731800
2006-06-26,XLE,26.65,27.02,26.44,26.985,33053200
2006-06-27,XLE,27.165,27.39,26.98,27.035,48294800
2006-06-28,XLE,27.115,27.565,27.1,27.5,44248000
2006-06-29,XLE,27.67,28.29,27.67,28.28,60785200
2006-06-30,XLE,28.39,28.545,28.13,28.375,22692400
2006-07-03,XLE,28.525,28.765,28.44,28.68,7662000
2006-07-05,XLE,28.515,28.88,28.2,28.81,32829800
2006-07-06,XLE,28.775,29.030001,28.63,28.735,33697200
2006-07-07,XLE,28.85,29.105,28.255,28.345,39374600
2006-07-10,XLE,28.36,28.72,28.22,28.43,29220400
2006-07-11,XLE,28.525,29.030001,28.505,28.95,25975000
2006-07-12,XLE,29.07,29.12,28.72,28.85,30260400
2006-07-13,XLE,28.975,29.035,28.525,28.575,37032600
2006-07-14,XLE,28.8,28.96,28.28,28.91,35258000
2006-07-17,XLE,28.61,28.755,27.83,27.975,64838800
2006-07-18,XLE,28.225,28.35,27.63,28.01,37958000
2006-07-19,XLE,27.92,28.4,27.82,28.3,45156400
2006-07-20,XLE,28.375,28.395,27.615,27.615,37870600
2006-07-21,XLE,27.755,27.755,27.125,27.24,60833000
2006-07-24,XLE,27.25,28.11,27.25,28.059999,45137000
2006-07-25,XLE,28.255,28.595,28.07,28.55,38077800
2006-07-26,XLE,28.38,29.285,28.34,29.125,39309400
2006-07-27,XLE,29.455,29.49,28.805,28.875,34664600
2006-07-28,XLE,28.72,28.965,28.43,28.885,29452600
2006-07-31,XLE,29.1,29.475,28.88,29.325,31043000
2006-08-01,XLE,29.27,29.435,28.995,29.36,22086000
2006-08-02,XLE,29.68,29.94,29.215,29.42,35554600
2006-08-03,XLE,29.0,29.475,28.975,29.165,23421000
2006-08-04,XLE,29.25,29.415,28.665,28.92,33659400
2006-08-07,XLE,29.13,29.4,28.9,29.225,38116200
2006-08-08,XLE,29.175,29.415,29.014999,29.055,40603600
2006-08-09,XLE,29.35,29.675,29.23,29.3,37053200
2006-08-10,XLE,29.13,29.2,28.825,29.059999,35670800
2006-08-11,XLE,29.025,29.16,28.835,29.075001,16322600
2006-08-14,XLE,28.86,28.86,27.93,28.475,33443400
2006-08-15,XLE,28.725,28.84,28.38,28.62,33198800
2006-08-16,XLE,28.52,28.95,28.295,28.5,44679200
2006-08-17,XLE,28.22,28.365,28.065001,28.3,69987200
2006-08-18,XLE,28.5,28.75,28.15,28.74,27279600
2006-08-21,XLE,28.97,29.059999,28.815,28.93,24737000
2006-08-22,XLE,28.9,29.125,28.855,29.125,13917800
2006-08-23,XLE,28.99,29.07,28.485,28.515,24303600
2006-08-24,XLE,28.6,28.94,28.48,28.885,21704600
2006-08-25,XLE,29.15,29.375,29.030001,29.11,26378800
2006-08-28,XLE,28.75,28.925,28.635,28.69,35186400
2006-08-29,XLE,28.54,28.54,28.225,28.51,26977000
2006-08-30,XLE,28.405,28.515,27.785,28.030001,39981000
2006-08-31,XLE,27.99,28.15,27.77,27.835,21933000
2006-09-01,XLE,28.0,28.25,27.905,28.25,17497000
2006-09-05,XLE,28.15,28.635,28.12,28.62,33220400
2006-09-06,XLE,28.315,28.35,27.62,27.65,34454000
2006-09-07,XLE,27.5,27.795,27.375,27.675,50465600
2006-09-08,XLE,27.555,27.78,26.975,26.975,33601600
2006-09-11,XLE,26.645,26.725,26.065001,26.14,88824200
2006-09-12,XLE,26.19,26.42,25.83,25.975,50193000
2006-09-13,XLE,26.2,26.685,26.185,26.515,45052000
2006-09-14,XLE,26.5,26.655,25.845,25.925,61271400
2006-09-15,XLE,25.94,26.055,25.71,25.925,61135400
2006-09-18,XLE,26.075001,26.685,25.975,26.55,66620800
2006-09-19,XLE,26.55,26.68,25.86,26.15,52592800
2006-09-20,XLE,25.9,26.135,25.375,25.45,58647400
2006-09-21,XLE,25.575,26.045,25.52,25.775,47660800
2006-09-22,XLE,25.955,26.02,25.48,25.665,48575000
2006-09-25,XLE,25.35,25.88,25.084999,25.7,69880800
2006-09-26,XLE,25.5,26.29,25.5,26.265,62279800
2006-09-27,XLE,26.57,26.785,26.14,26.7,70352200
2006-09-28,XLE,26.695,26.985,26.545,26.615,48496200
2006-09-29,XLE,26.45,26.875,26.385,26.725,33727800
2006-10-02,XLE,26.61,26.91,26.405,26.42,29895400
